pathway,overlap,gene_set_size,pathway_size,p_value
ORGANIC ANION TRANSPORT,14,191,102,0.00037177065715985344
NEGATIVE REGULATION OF LEUKOCYTE CHEMOTAXIS,3,191,5,0.0010742149070154352
ORGAN OR TISSUE SPECIFIC IMMUNE RESPONSE,4,191,11,0.0014009432457416718
NEGATIVE REGULATION OF CHEMOTAXIS,4,191,12,0.002021591416475504
BONE MATURATION,3,191,6,0.0020710751127556025
SODIUM INDEPENDENT ORGANIC ANION TRANSPORT,3,191,6,0.0020710751127556025
INNATE IMMUNE RESPONSE IN MUCOSA,3,191,6,0.0020710751127556025
ORGANIC ACID TRANSPORT,11,191,83,0.0021193327949722554
VITAMIN METABOLIC PROCESS,5,191,20,0.002266592202112884
FAT SOLUBLE VITAMIN METABOLIC PROCESS,4,191,13,0.002809331033534439
LIPID METABOLIC PROCESS,24,191,272,0.003018575680482505
NUCLEOBASE METABOLIC PROCESS,3,191,8,0.005390366050388689
NEGATIVE REGULATION OF SYNAPSE ASSEMBLY,2,191,3,0.006924704344414892
TRANSCYTOSIS,2,191,3,0.006924704344414892
NEGATIVE REGULATION OF OSTEOCLAST DEVELOPMENT,2,191,3,0.006924704344414892
SENSORY PERCEPTION OF LIGHT STIMULUS,8,191,59,0.007369907565573731
COMPLEMENT ACTIVATION,4,191,17,0.00801650952366367
GLYCEROLIPID CATABOLIC PROCESS,4,191,17,0.00801650952366367
DICARBOXYLIC ACID TRANSPORT,5,191,27,0.008932189058229059
MONOCARBOXYLIC ACID TRANSPORT,7,191,49,0.009027654800887653
VIRAL PROCESS,8,191,62,0.009916588032137942
BICARBONATE TRANSPORT,3,191,10,0.01074067780726821
ANIMAL ORGAN MATURATION,3,191,10,0.01074067780726821
POSITIVE REGULATION OF FATTY ACID BIOSYNTHETIC PROCESS,3,191,10,0.01074067780726821
NEUTRAL AMINO ACID TRANSPORT,3,191,10,0.01074067780726821
RESPIRATORY GASEOUS EXCHANGE BY RESPIRATORY SYSTEM,5,191,29,0.012139326737033577
RIBONUCLEOSIDE METABOLIC PROCESS,2,191,4,0.013403635102455723
BONE MINERALIZATION INVOLVED IN BONE MATURATION,2,191,4,0.013403635102455723
LATERAL VENTRICLE DEVELOPMENT,2,191,4,0.013403635102455723
REGULATION OF PROSTAGLANDIN SECRETION,2,191,4,0.013403635102455723
PROSTAGLANDIN SECRETION,2,191,4,0.013403635102455723
REGULATION OF OSTEOCLAST DEVELOPMENT,2,191,4,0.013403635102455723
VESICLE BUDDING FROM MEMBRANE,2,191,4,0.013403635102455723
PHOSPHATIDYLGLYCEROL METABOLIC PROCESS,2,191,4,0.013403635102455723
PURINE RIBONUCLEOSIDE METABOLIC PROCESS,2,191,4,0.013403635102455723
GLYCEROL ETHER METABOLIC PROCESS,2,191,4,0.013403635102455723
ADENOSINE METABOLIC PROCESS,2,191,4,0.013403635102455723
NEUTRAL LIPID CATABOLIC PROCESS,3,191,11,0.014243078267840655
NEGATIVE REGULATION OF LEUKOCYTE MIGRATION,3,191,11,0.014243078267840655
TRIGLYCERIDE CATABOLIC PROCESS,3,191,11,0.014243078267840655
ACTIVATION OF IMMUNE RESPONSE,13,191,136,0.01472816360416693
REGULATION OF VIRAL PROCESS,5,191,31,0.01604992743872936
SODIUM ION TRANSMEMBRANE TRANSPORT,7,191,55,0.016668352880371697
REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION,4,191,21,0.017299778295266154
SENSORY PERCEPTION,19,191,232,0.017372937513035973
REGULATION OF FATTY ACID BIOSYNTHETIC PROCESS,3,191,12,0.0183169072182957
ORGANIC ACID TRANSMEMBRANE TRANSPORT,5,191,33,0.020721207630923166
REGULATION OF PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY,5,191,33,0.020721207630923166
CYTOPLASM ORGANIZATION,2,191,5,0.021623248566082578
